village,rus_village,lat,lon,gltc_lang,gltc_dialect,village_dataset_version,visit
Amsar,Амсар,41.60348,47.33116,rutu1240,NA,2022-06-02,yes
Dzhilikhur,Джилихур,41.65545,47.26768,rutu1240,ixre1238,2022-06-02,yes
Ikhrek,Ихрек,41.693931,47.210005,rutu1240,ixre1238,2022-06-02,yes
Kala,Кала,41.577819,47.3499843,rutu1240,NA,2022-06-02,yes
Khnov,Хнов,41.378607,47.443605,rutu1240,borc1243,2022-06-02,yes
Kiche,Киче,41.53146,47.48171,rutu1240,NA,2022-06-02,yes
Kina,Кина,41.6166,47.2647,rutu1240,NA,2022-06-02,yes
Kufa,Куфа,41.564115,47.376937,rutu1240,NA,2022-06-02,yes
Luchek,Лучек,41.60988,47.307307,rutu1240,NA,2022-06-02,yes
Myukhrek,Мюхрек,41.68,47.29,rutu1240,ixre1238,2022-06-02,yes
Rutul,Рутул,41.5342,47.4269,rutu1240,NA,2022-06-02,yes
Shinaz,Шиназ,41.618658,47.375666,rutu1240,shin1265,2022-06-02,yes
